| KeyVaultName  | SecretName          | SecretValue      | StartDate  | EndDate    |
| ------------- | ------------------- | ---------------- | ---------- | ---------- |
| kv-prod-app01 | db-password         | Password123!     | 2026-05-01 | 2027-05-01 |
| kv-prod-app01 | api-key             | ApiKey987654     | 2026-05-01 | 2026-12-31 |
| kv-prod-app02 | storage-key         | StorageSecret111 | 2026-05-01 | 2027-01-01 |
| kv-prod-app02 | jwt-secret          | JwtSecret999     | 2026-05-01 | 2026-11-30 |
| kv-prod-app03 | smtp-password       | SmtpPass222      | 2026-05-01 | 2027-03-15 |
| kv-prod-app04 | redis-key           | RedisKey333      | 2026-05-01 | 2026-10-10 |
| kv-prod-app05 | snowflake-password  | SnowPass444      | 2026-05-01 | 2027-07-20 |
| kv-prod-app06 | splunk-token        | SplunkToken555   | 2026-05-01 | 2027-09-01 |
| kv-prod-app07 | service-account-key | ServiceAcc666    | 2026-05-01 | 2026-08-15 |
| kv-prod-app08 | ssl-cert-password   | SSLPass777       | 2026-05-01 | 2027-12-31 |
